pl_name,hostname,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,ttv_flag
11 Com b,11 Com,,,,,,,,,5434.70000,540.30000,-413.20000,0,17.10000,1.70000,-1.30000,0,Msini,0
11 Com b,11 Com,,,,,,,,,6165.60000,476.70000,-476.70000,0,19.40000,1.50000,-1.50000,0,Msini,0
11 Com b,11 Com,,,,,,,,,4914.89849,39.09289,-39.72855,0,15.46400,0.12300,-0.12500,0,Msini,0
11 UMi b,11 UMi,,,,,,,,,4684.81420,794.57500,-794.57500,0,14.74000,2.50000,-2.50000,0,Msini,0
11 UMi b,11 UMi,,,,,,,,,3432.40000,381.40000,-413.20000,0,10.80000,1.20000,-1.30000,0,Msini,0
11 UMi b,11 UMi,,,,,,,,,3337.07000,785.01000,-785.01000,0,10.50000,2.47000,-2.47000,0,Msini,0
14 And b,14 And,,,,,,,,,1131.15130,36.23244,-38.77507,0,3.55900,0.11400,-0.12200,0,Msini,0
14 And b,14 And,,,,,,,,,1017.00000,127.10000,-190.70000,0,3.20000,0.40000,-0.60000,0,Msini,0
14 And b,14 And,,,,,,,,,1525.50000,,,0,4.80000,,,0,Msini,0
14 Her b,14 Her,,,,,,,,,1474.67000,60.39000,-60.39000,0,4.64000,0.19000,-0.19000,0,Msini,0
14 Her b,14 Her,,,,,,,,,1581.13800,,,0,4.97500,,,0,Msini,0
14 Her b,14 Her,2559.47216,518.69596,-280.64248,0,8.05300,1.63200,-0.88300,0,2559.47216,518.69596,-280.64248,0,8.05300,1.63200,-0.88300,0,Mass,0
14 Her b,14 Her,,,,,,,,,1481.08780,47.67450,-47.67450,0,4.66000,0.15000,-0.15000,0,Msini,0
14 Her b,14 Her,,,,,,,,,1506.45000,19.07000,-19.07000,0,4.74000,0.06000,-0.06000,0,Msini,0
14 Her b,14 Her,,,,,,,,,1541.46777,47.67426,-47.67426,0,4.85000,0.15000,-0.15000,0,Msini,0
14 Her b,14 Her,,,,,,,,,1554.12000,,,0,4.89000,,,0,Msini,0
14 Her b,14 Her,,,,,,,,,1440.66300,,,0,4.53300,,,0,Msini,0
16 Cyg B b,16 Cyg B,,,,,,,,,556.83537,17.16273,-16.84491,0,1.75200,0.05400,-0.05300,0,Msini,0
